explainedPeaks,score,neutralMass,SMILES,InChIKey,InChIKey2,InChIKey1,InChI,identifier,fragScore,neutral_formula,compoundName,pubMedReferences,numberPatents,relatedCIDs,compoundName2,agroChemInfo,bioPathway,drugMedicInfo,foodRelated,pharmacoInfo,safetyInfo,toxicityInfo,disorderDisease,identification,knownUse,annoTypeCount,metFusionScore,individualMoNAScore,XLogP,database,UID,formulaScore
9,4.382997928,138.0680796,C1=CC=C(C=C1)OCCO,QCDWFXQBSFUVSP-UHFFFAOYSA-N,UHFFFAOYSA,QCDWFXQBSFUVSP,"InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2",31236,235.9688309,C8H10O2,2-phenoxyethanol,319,95171,31236 71309019,2-PHENOXYETHANOL,0,0,7,3,7,10,3,1,2,6,8,2.632330311,0,1.2,pubchemlite,QCDWFXQBSFUVSP,1
10,3.878844562,138.0680796,C1=CC(=CC=C1CCO)O,YCCILVSKPBXVIP-UHFFFAOYSA-N,UHFFFAOYSA,YCCILVSKPBXVIP,"InChI=1S/C8H10O2/c9-6-5-7-1-3-8(10)4-2-7/h1-4,9-10H,5-6H2",10393,210.5929301,C8H10O2,4-(2-hydroxyethyl)phenol,704,11045,10393,2-(4-Hydroxyphenyl)ethanol,0,1,2,2,4,2,0,2,0,3,7,2.655783789,0,0.4,pubchemlite,YCCILVSKPBXVIP,1
10,3.464393205,138.0680796,COC1=CC=C(C=C1)CO,MSHFRERJPWKJFX-UHFFFAOYSA-N,UHFFFAOYSA,MSHFRERJPWKJFX,"InChI=1S/C8H10O2/c1-10-8-4-2-7(6-9)3-5-8/h2-5,9H,6H2,1H3",7738,187.3648837,C8H10O2,(4-methoxyphenyl)methanol,54,20972,7738,4-METHOXYBENZYL ALCOHOL,0,0,0,5,2,2,2,1,0,4,6,2.554412016,0,1.1,pubchemlite,MSHFRERJPWKJFX,1
9,3.394478515,138.0680796,COC1=CC=C(C=C1)OC,OHBQPCCCRFSCAX-UHFFFAOYSA-N,UHFFFAOYSA,OHBQPCCCRFSCAX,"InChI=1S/C8H10O2/c1-9-7-3-5-8(10-2)6-4-7/h3-6H,1-2H3",9016,181.5104759,C8H10O2,"1,4-dimethoxybenzene",103,22310,9016 11085924,"1,4-Dimethoxybenzene",0,0,0,5,3,10,3,1,0,6,6,2.365657822,0,2,pubchemlite,OHBQPCCCRFSCAX,1
9,3.380273295,138.0680796,CCOC1=CC=C(C=C1)O,LKVFCSWBKOVHAH-UHFFFAOYSA-N,UHFFFAOYSA,LKVFCSWBKOVHAH,"InChI=1S/C8H10O2/c1-2-10-8-5-3-7(9)4-6-8/h3-6,9H,2H2,1H3",12150,203.7977599,C8H10O2,4-ethoxyphenol,10,12410,12150,4-Ethoxyphenol,0,0,0,5,4,2,2,0,0,3,5,2.572999122,0,1.8,pubchemlite,LKVFCSWBKOVHAH,1
9,3.360125318,138.0680796,CCOC1=CC=CC=C1O,MOEFFSWKSMRFRQ-UHFFFAOYSA-N,UHFFFAOYSA,MOEFFSWKSMRFRQ,"InChI=1S/C8H10O2/c1-2-10-8-6-4-3-5-7(8)9/h3-6,9H,2H2,1H3",66755,205.375161,C8H10O2,2-ethoxyphenol,16,6361,66755,2-Ethoxyphenol,0,0,0,0,2,2,2,1,0,4,5,2.580643783,0,1.7,pubchemlite,MOEFFSWKSMRFRQ,1
9,3.31134291,138.0680796,COC1=CC=CC=C1OC,ABDKAPXRBAPSQN-UHFFFAOYSA-N,UHFFFAOYSA,ABDKAPXRBAPSQN,"InChI=1S/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3",7043,183.087877,C8H10O2,"1,2-dimethoxybenzene",147,21600,7043,"1,2-Dimethoxybenzene",0,0,0,5,3,2,2,0,0,4,5,2.36100168,0,1.6,pubchemlite,ABDKAPXRBAPSQN,1
10,3.285007545,138.0680796,CC1=CC(=C(C=C1)O)OC,PETRWTHZSKVLRE-UHFFFAOYSA-N,UHFFFAOYSA,PETRWTHZSKVLRE,"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",7144,168.9425203,C8H10O2,2-methoxy-4-methylphenol,137,5640,7144,2-METHOXY-4-METHYLPHENOL,0,0,0,5,2,2,2,1,0,3,6,2.418036004,0,1.3,pubchemlite,PETRWTHZSKVLRE,1
9,3.245057456,138.0680796,COC1=CC(=CC=C1)OC,DPZNOMCNRMUKPS-UHFFFAOYSA-N,UHFFFAOYSA,DPZNOMCNRMUKPS,"InChI=1S/C8H10O2/c1-9-7-4-3-5-8(6-7)10-2/h3-6H,1-2H3",9025,181.5104759,C8H10O2,"1,3-dimethoxybenzene",49,17957,9025,"1,3-Dimethoxybenzene",0,0,0,5,2,2,2,0,0,3,5,2.3456366,0,2.2,pubchemlite,DPZNOMCNRMUKPS,1
10,3.169287359,138.0680796,CC(=O)CCC1=CC=CO1,GGJUJWSDTDBTLX-UHFFFAOYSA-N,UHFFFAOYSA,GGJUJWSDTDBTLX,"InChI=1S/C8H10O2/c1-7(9)4-5-8-3-2-6-10-8/h2-3,6H,4-5H2,1H3",12780,207.460457,C8H10O2,4-(furan-2-yl)butan-2-one,0,242,12780,4-(2-Furyl)butan-2-one,0,0,0,5,2,2,2,0,0,3,5,2.141307318,0,0.8,pubchemlite,GGJUJWSDTDBTLX,1
